Date;Open;Max;Min;Close
24.09.2018;113640;115200;113640;114380
24.09.2018;114380;114450;114260;114370
24.09.2018;114380;114420;114260;114290
24.09.2018;114290;114330;114230;114260
24.09.2018;114280;114320;114230;114260
24.09.2018;114270;114390;114250;114310
24.09.2018;114310;114390;114300;114330
24.09.2018;114320;114390;114300;114360
24.09.2018;114360;114380;114300;114360
24.09.2018;114350;114370;114210;114310
24.09.2018;114300;114340;114260;114300
24.09.2018;114300;114350;114280;114340
24.09.2018;114330;114380;114300;114330
24.09.2018;114320;114370;114310;114360
24.09.2018;114350;114400;114330;114390
24.09.2018;114380;114400;114340;114360
24.09.2018;114350;114380;114340;114370
24.09.2018;114350;114360;114310;114310
24.09.2018;114320;114370;114300;114340
24.09.2018;114330;114330;114250;114260
24.09.2018;114270;114280;114210;114210
24.09.2018;114210;114270;114190;114260
24.09.2018;114250;114340;114250;114330
24.09.2018;114320;114360;114310;114360
24.09.2018;114350;114400;114340;114400
24.09.2018;114390;114440;114370;114430
24.09.2018;114440;114470;114350;114360
24.09.2018;114370;114440;114370;114410
24.09.2018;114410;114430;114380;114410
24.09.2018;114420;114460;114380;114420
24.09.2018;114430;114480;114400;114420
24.09.2018;114410;114430;114390;114410
24.09.2018;114420;114450;114410;114410
24.09.2018;114420;114430;114360;114360
24.09.2018;114380;114380;114310;114330
24.09.2018;114330;114360;114320;114350
24.09.2018;114340;114350;114300;114300
24.09.2018;114320;114340;114300;114320
24.09.2018;114310;114310;114200;114220
24.09.2018;114220;114290;114220;114290
24.09.2018;114290;114310;114250;114250
24.09.2018;114260;114310;114260;114300
24.09.2018;114300;114300;114270;114280
24.09.2018;114280;114290;114240;114250
24.09.2018;114250;114300;114250;114300
24.09.2018;114300;114300;114220;114220
24.09.2018;114230;114270;114200;114230
24.09.2018;114230;114280;114220;114220
24.09.2018;114220;114280;114220;114240
24.09.2018;114250;114250;114070;114090
24.09.2018;114090;114140;114070;114100
24.09.2018;114100;114180;114090;114160
24.09.2018;114160;114250;114160;114240
24.09.2018;114230;114230;114190;114220
24.09.2018;114230;114230;114160;114200
24.09.2018;114210;114210;114090;114100
24.09.2018;114110;114130;114100;114110
24.09.2018;114110;114130;114050;114070
24.09.2018;114070;114100;114040;114100
24.09.2018;114090;114120;114080;114100
24.09.2018;114110;114190;114090;114190
24.09.2018;114190;114220;114140;114160
24.09.2018;114160;114190;114150;114190
24.09.2018;114180;114190;114150;114160
24.09.2018;114160;114190;114130;114160
24.09.2018;114170;114180;114120;114160
24.09.2018;114150;114170;114140;114150
24.09.2018;114140;114140;114120;114140
24.09.2018;114130;114140;114120;114130
24.09.2018;114140;114170;114110;114140
24.09.2018;114140;114190;114120;114170
24.09.2018;114180;114200;114130;114130
24.09.2018;114130;114170;114120;114120
24.09.2018;114130;114150;114110;114130
24.09.2018;114130;114130;114070;114090
24.09.2018;114090;114120;114090;114120
24.09.2018;114120;114200;114120;114200
24.09.2018;114200;114240;114180;114200
24.09.2018;114190;114200;114140;114140
24.09.2018;114150;114190;114140;114190
24.09.2018;114190;114240;114180;114220
24.09.2018;114220;114220;114190;114200
24.09.2018;114200;114230;114180;114190
24.09.2018;114190;114250;114190;114230
24.09.2018;114230;114250;114230;114240
24.09.2018;114240;114280;114240;114270
24.09.2018;114280;114280;114240;114270
24.09.2018;114270;114290;114250;114290
24.09.2018;114290;114330;114280;114330
24.09.2018;114330;114350;114290;114340
24.09.2018;114350;114400;114330;114330
24.09.2018;114340;114350;114280;114310
24.09.2018;114310;114330;114240;114250
24.09.2018;114240;114270;114200;114220
24.09.2018;114200;114240;114150;114160
24.09.2018;114160;114230;114150;114230
24.09.2018;114220;114260;114170;114220
24.09.2018;114210;114300;114200;114280
24.09.2018;114290;114290;114240;114260
24.09.2018;114260;114260;114200;114220
24.09.2018;114220;114250;114110;114170
24.09.2018;114180;114200;114120;114180
24.09.2018;114180;114230;114160;114230
24.09.2018;114230;114250;114180;114190
24.09.2018;114180;114270;114180;114230
24.09.2018;114240;114320;114240;114290
24.09.2018;114300;114330;114280;114290
24.09.2018;114290;114450;114280;114410
24.09.2018;114400;114430;114340;114360
24.09.2018;114370;114400;114340;114380
24.09.2018;114370;114400;114360;114390
24.09.2018;114390;114410;114300;114330
24.09.2018;114320;114360;114300;114350
24.09.2018;114330;114370;114300;114360
